CJJ,36.72202277666726,127.49591612468085
LPL,53.336375105442215,-2.858620657849379
UPG,-5.058936894557788,119.54569134215063
NCL,55.037084860801954,-1.71034578407216
MED,24.54423396056608,39.69913595604174
ADA,36.9852090641795,35.29696142683381
AMA,35.218403191939814,-101.70535277269678
BHM,33.56186728280577,-86.75237736154624
BIL,45.803685571527836,-108.53692938812462
BOJ,42.56708354877019,27.51640936629526
BRE,53.052287104156015,8.7858617703132
BRS,51.38629341891484,-2.710864691343084
BTR,30.532613804058556,-91.15675440481048
BTS,48.16983790625349,17.19998500222079
CAE,33.934205458427535,-81.10933524293772
CCJ,11.1395520526064,75.95099306305104
CGQ,43.99301147957697,125.69045681299836
CPR,42.89719004830057,-106.46444480969178
CRK,15.187642242388833,120.55077022391397
CTA,37.470072800341015,15.067460500705343
CWL,51.39862209110174,-3.339568764291176
DAY,39.8990402865362,-84.22045942381024
DCA,38.853716201212265,-77.04333739256312
DOK,48.06916712855819,37.744808557210334
EDI,55.9485540113639,-3.364284685135545
GEG,47.62547812783678,-117.53683662858516
GSO,36.105378199893245,-79.93648675774836
GZT,36.945363344687536,37.473803252189995
HRG,27.18042609181859,33.807160641411784
HRK,49.92153606315507,36.28220107735029
HSV,34.648334460931935,-86.77494305633734
ICT,37.6529279603903,-97.4287387683976
LEX,38.03742731813716,-84.59826819187857
LIT,34.728430041517875,-92.22058813192886
LTK,35.407311459674354,35.944240709666296
LTN,51.8802952570969,-0.376227267397439
MDW,41.78834925974092,-87.74212668856121
MGM,32.304587990963064,-86.39030746026862
MHT,42.92791399458855,-71.43752390918567
MXP,45.62744051403809,8.712959535024368
NUE,49.49450521703445,11.077417973909556
ODS,46.44062687591064,30.676830831020588
PFO,34.71340128173351,32.483232206492644
RIC,37.50828997509012,-77.33311963811302
ROC,43.127551982648235,-77.66524450621966
SGF,37.24214449030243,-93.3826379012003
SHV,32.45457988665127,-93.82852222295027
SIP,45.020217397816495,33.99605292445367
SJD,23.162657448359653,-109.71785838690921
SLE,44.91051384521425,-123.00787147940393
SNN,52.693453710253166,-8.922428855576857
TGD,42.367933519542824,19.246686861887266
TLH,30.395557617693783,-84.34499539848576
TRN,45.19166007346417,7.644162303621328
TYN,37.754511779151215,112.62589153931525
VRA,23.039542233963147,-81.43671038506231
,39.411965971056546,125.89082505748561
MDG,44.53429362999352,129.5801515322203
BOD,44.832110866267385,-0.701793449075243
TLS,43.63046256616009,1.373509185511527
FUK,33.58481643325734,130.44418954188373
FLN,-27.664627694163833,-48.544812204959904
NAT,-5.899120544771162,-35.24884101653892
OPO,41.23687089204524,-8.671272407196472
ALC,38.286640899392886,-0.557230440363588
NRK,58.583380501754064,16.23394076958144
SAW,40.90430035539573,29.309599142388944
AMM,31.722662160043214,35.989707162192985
BZE,17.536068657552093,-88.30820640330747
CRP,27.77445607008226,-97.50226787102976
CUZ,-13.538218699263911,-71.94366414497216
DME,55.41415282230229,37.90025312894517
EVN,40.15236794518844,44.40006305369384
FTW,32.82075290479723,-97.35513485615866
GUM,13.492646235946513,144.8058503570926
IND,39.730204370396905,-86.27340036508855
KMG,24.99999611008102,102.74211757882347
LBA,53.86908194744343,-1.659831067347459
MFM,22.15765725296336,113.57451294861951
NAP,40.87807288436389,14.282844434020328
NGB,29.820823190686056,121.46181938848366
OAK,37.71230369516912,-122.21326125786332
ONT,34.06019110206596,-117.5923276516506
ORK,51.84854054199235,-8.490141999838173
REP,13.408796969353801,103.81578052811155
RNO,39.505849901470334,-119.77528330810486
SJJ,43.825887224679725,18.336618545712724
SXM,18.042244021474033,-63.1122760858602
TSE,51.0269352907712,71.46094413999357
TSN,39.12946099090075,117.35272315991853
TUN,36.84744821772193,10.21769924471112
TUS,32.12035234418979,-110.93771323213196
URC,43.898338219365286,87.46712984878084
XMN,24.537192570557004,118.12696884672026
SJW,38.27814091311202,114.6922665989016
GYD,40.46274688390803,50.04983948674051
LUX,49.63430409251016,6.216421217287305
VCE,45.504847758845486,12.341067300436913
LPA,27.936889971657408,-15.389924515846113
HGH,30.235186279041436,120.43209737631294
PRN,42.58503311534483,21.03026901247459
HRB,45.62060117232452,126.2369830308627
ADB,38.29123476451746,27.149297595266408
NKG,31.73532492961766,118.86610214690592
TIP,32.66916955049933,13.144258981071262
ABQ,35.04915780182765,-106.6166851616002
BAH,26.269697149949714,50.62600287575336
BDL,41.93031600583518,-72.68539474333903
BSR,30.552799016106043,47.668376663351836
CMB,7.178077105442211,79.88525734215062
CNX,18.768847391967526,98.96811812415933
COS,38.79742487791252,-104.70088027411134
CSX,28.189921861945066,113.21405420325205
CVG,39.05541890478304,-84.65616991533919
DAD,16.05314414516696,108.20270625793569
DAL,32.84442537327384,-96.84986377097995
DAM,33.41143667027319,36.51289547181257
DPS,-8.744757315956518,115.16232296110661
DSM,41.5327904242113,-93.64846125637362
GDN,54.380702535292464,18.468442216591136
IAD,38.95277403795302,-77.44779257692062
JAN,32.31006002736351,-90.07509862769238
JAX,30.491352730947966,-81.68357672783112
KRK,50.07226306483314,19.800977284450408
KUF,53.50838481909353,50.14726552101905
KWL,25.217605525229324,110.04689349777009
LGA,40.77455393988576,-73.8719858204814
LGW,51.155756751927456,-0.162961639139456
LJU,46.230544555448624,14.454812628326566
MAN,53.36248960665181,-2.273371590694274
MCI,39.297895826365945,-94.71591485791544
MCT,23.588570417585636,58.2904804753493
MRS,43.44106000164679,5.221379177203373
NNG,22.612037054178508,108.16801227333096
OKC,35.39527749117442,-97.59611775420922
ORF,36.89823946736742,-76.2044231712327
